120,204,120,204
315,204,339,228
321,204,339,222
324,204,336,216
120,207,120,207
315,207,318,210
321,207,339,225
36,210,120,294
315,210,318,213
36,213,120,297
123,213,123,213
204,213,225,234
207,213,228,234
36,216,159,339
123,216,177,270
156,216,201,261
159,216,204,261
162,216,204,258
165,216,207,258
168,216,207,255
171,216,210,255
174,216,210,252
315,216,318,219
318,216,318,216
324,216,336,228
36,219,156,339
129,219,180,270
132,219,183,270
135,219,186,270
138,219,186,267
141,219,189,267
144,219,192,267
147,219,195,267
150,219,195,264
153,219,198,264
156,219,201,264
180,219,213,252
183,219,213,249
186,219,213,246
189,219,213,243
192,219,213,240
195,219,216,240
198,219,216,237
201,219,219,237
204,219,222,237
207,219,225,237
249,219,309,279
252,219,309,276
255,219,312,276
258,219,315,276
261,219,315,273
264,219,315,270
267,219,315,267
270,219,312,261
273,219,315,261
276,219,315,258
279,219,315,255
282,219,315,252
285,219,318,252
288,219,318,249
291,219,315,243
294,219,315,240
297,219,315,237
300,219,315,234
303,219,315,231
306,219,315,228
309,219,315,225
312,219,315,222
315,219,315,219
324,219,336,231
36,222,153,339
219,222,219,222
234,222,285,273
237,222,288,273
240,222,291,273
243,222,294,273
246,222,297,273
249,222,306,279
324,222,336,234
36,225,153,342
234,225,282,273
324,225,336,237
36,228,150,342
117,228,159,270
234,228,282,276
324,228,336,240
36,231,150,345
114,231,150,267
117,231,156,270
234,231,279,276
321,231,333,243
324,231,333,240
36,234,141,339
231,234,270,273
234,234,276,276
36,237,141,342
321,237,333,249
324,237,333,246
36,240,141,345
321,240,333,252
36,243,141,348
321,243,330,252
240,246,267,273
39,249,144,354
240,249,261,270
324,249,330,255
39,252,144,357
240,252,255,267
324,252,330,258
240,255,252,267
324,255,330,261
42,258,150,366
96,258,108,270
99,258,99,258
324,258,327,261
42,261,153,372
96,261,111,276
243,261,246,264
324,261,327,264
96,264,111,279
324,264,324,264
45,267,159,381
96,267,120,291
45,270,165,390
324,270,324,270
324,273,324,273
48,276,174,402
321,279,324,282
324,279,324,279
51,282,183,414
117,285,117,285
318,285,318,285
54,288,66,300
258,288,309,339
261,288,309,336
192,291,192,291
258,291,309,342
57,294,57,294
189,294,189,294
270,294,309,333
183,297,261,375
186,297,264,375
189,297,192,300
261,297,309,345
177,300,261,384
180,300,261,381
183,300,261,378
261,300,309,348
126,303,159,336
129,303,162,336
174,303,183,312
177,303,261,387
261,303,309,351
72,306,237,471
135,306,162,333
138,306,165,333
171,306,180,315
174,306,183,315
261,306,309,354
285,306,312,333
288,306,312,330
147,309,168,330
150,309,171,330
156,309,174,327
159,309,174,324
162,309,177,324
165,309,177,321
168,309,180,321
171,309,180,318
201,309,264,372
258,309,306,357
261,309,309,357
294,309,312,327
297,309,312,324
300,309,312,321
303,309,303,309
75,312,234,471
147,312,165,330
156,312,171,327
207,312,267,372
210,312,267,369
213,312,270,369
216,312,270,366
219,312,273,366
222,312,276,366
225,312,294,381
228,312,294,378
231,312,297,378
234,312,282,360
237,312,261,336
240,312,264,336
243,312,261,330
255,312,261,318
